Participant_ID	P11	Block Order	1	Date	2023-04-28-1030
Trialnumber	Winpos	Losspos	Side	Order	Choice	RT	Choiceside	Winchosen	LossChosen	TotalMoney	Fixonset	Choiceonset	Monitoronset	Winresonset	Lossresonset	stima	stimb	Blocknum
1	0	0	0	1	0	0.9187927842140198	left	1	-1	1.65	0.624920000002021	1.6249153999960981	2.550628400000278	3.557413100003032	-1	f	i	1
2	0	0	0	1	0	0.8480492830276489	left	1	-1	1.8	4.580744599981699	5.581266399996821	6.671161699981894	7.677513700007694	-1	f	i	1
3	0	0	1	1	0	1.9161343574523926	right	1	-1	1.95	8.692777399992337	9.692907899996499	11.614944999979343	12.620720000006258	-1	f	i	1
4	0	0	0	1	0	0.6701756119728088	left	1	-1	2.1	13.87583479998284	14.876318099995842	15.552624599979026	16.558294899994507	-1	f	i	1
5	0	0	0	1	0	0.8120393753051758	left	1	-1	2.25	17.580317299987655	18.580859799985774	19.399673699983396	20.405626199994003	-1	f	i	1
6	0	0	1	1	0	2.2999889850616455	right	1	-1	2.4	21.42687759999535	22.4273956999823	24.733525399991777	25.739268200006336	-1	f	i	1
7	0	0	1	1	0	0.8112840056419373	right	1	-1	2.55	26.761556399986148	27.76223269998445	28.80337799998233	29.80933509999886	-1	f	i	1
8	1	1	0	1	0	1.8890336751937866	left	0	-1	2.55	31.05698249998386	32.05740329998662	33.9528078000003	34.958432699990226	-1	f	i	1
9	1	1	1	1	0	1.7360318899154663	right	0	-1	2.55	35.97682409998379	36.977520699991146	38.719630299980054	39.7253381999908	-1	f	i	1
10	1	1	1	1	0	1.9821056127548218	right	0	-1	2.55	40.99605769998743	41.99672229998396	43.98486500000581	44.99064709999948	-1	f	i	1
11	1	1	0	1	0	1.2347639799118042	left	0	-1	2.55	46.24958589999005	47.25056779998704	48.718049099989	49.723690699989675	-1	f	i	1
12	0	0	0	1	0	0.9463192820549011	left	1	-1	2.7	50.95869939998374	51.95928690000437	52.91176459999406	53.91752869999618	-1	f	i	1
13	1	1	0	1	0	0.4434748888015747	left	0	-1	2.7	54.93009399998118	55.93063479999546	56.382620999997016	57.38828509999439	-1	f	i	1
14	0	0	1	1	1	0.815599799156189	left	0	-1	2.7	58.41008780000266	59.41075449998607	60.232987800001865	61.23858539998764	-1	f	i	1
15	1	1	1	1	1	0.676416277885437	left	1	-1	2.85	62.285383599984925	63.285514699993655	63.9687248999835	64.97455899999477	-1	f	i	1
16	0	0	1	1	1	0.7451815009117126	left	0	-1	2.85	65.99697979999473	66.99738369998522	67.74841759999981	68.75470399999176	-1	f	i	1
17	1	1	1	1	1	1.1372368335723877	left	1	-1	3.0	69.77127689999179	70.77167889999691	71.91483429999789	72.9204224999994	-1	f	i	1
18	1	1	0	1	1	1.9210656881332397	right	1	-1	3.15	73.97749789999216	74.97804570000153	76.9052526000014	77.9112979999918	-1	f	i	1
19	1	1	1	1	1	0.7310708165168762	left	1	-1	3.3	78.95819289999781	79.9587271999917	80.69585540000116	81.70176709999214	-1	f	i	1
20	1	1	0	1	1	0.6683897972106934	right	1	-1	3.45	82.72339989998727	83.72380559999146	84.3982824999839	85.40430870000273	-1	f	i	1
21	1	1	1	1	1	0.4813562035560608	left	1	-1	3.6	86.42731400000048	87.42755369999213	87.91489439998986	88.92055929999333	-1	f	i	1
22	1	1	0	1	1	0.7262158989906311	right	1	-1	3.75	89.93215129998862	90.93267350000679	91.66476769998553	92.67084559999057	-1	f	i	1
23	0	0	0	1	1	0.9004573225975037	right	0	-1	3.75	93.69093519999296	94.69144229998346	95.59778260000166	96.60444819999975	-1	f	i	1
24	0	0	1	1	1	0.6679790019989014	left	0	-1	3.75	97.62362649998977	98.62387509999098	99.29791359999217	100.30369149998296	-1	f	i	1
25	0	0	1	1	1	1.4498709440231323	left	0	-1	3.75	101.3110699999961	102.31168779998552	103.767857800005	104.77375379999285	-1	f	i	1
26	0	0	1	1	1	0.4579941928386688	left	0	-1	3.75	105.79215829999885	106.79266139998799	107.47618870000588	108.48167839998496	-1	f	i	1
27	0	0	0	1	1	4.61473274230957	right	0	-1	3.75	109.49126459998661	110.49223119998351	115.34181189999799	116.34780819999287	-1	f	i	1
28	0	0	0	1	1	1.1791516542434692	right	0	-1	3.75	117.49783939999179	118.49850449999212	119.68496459999005	120.69077679998009	-1	f	i	1
29	0	0	1	1	1	0.7406473159790039	left	0	-1	3.75	121.93420930000138	122.93478869998944	123.68146799999522	124.68757859998732	-1	f	i	1
30	1	1	1	1	0	0.6983603835105896	right	0	-1	3.75	125.69599350000499	126.69664129999	127.40373839999666	128.40950670000166	-1	f	i	1
31	1	1	1	1	1	1.792493224143982	left	1	-1	3.9	129.6515887999849	130.6522563000035	132.4506885999872	133.45663159998367	-1	f	i	1
32	1	1	0	1	1	0.7956256866455078	right	1	-1	4.05	134.47779340000125	135.478340200003	136.2805051000032	137.28756279998925	-1	f	i	1
33	1	1	0	1	1	1.1516685485839844	right	1	-1	4.2	138.30717079999158	139.30785710000782	140.46679780000704	141.4729076999938	-1	f	i	1
34	1	1	0	1	1	0.8151049017906189	right	1	-1	4.35	142.6751488999871	143.6757307999942	144.49677179998253	145.50272150000092	-1	f	i	1
35	1	1	0	1	1	0.7989416122436523	right	1	-1	4.5	146.52685389999533	147.52713979998953	148.3326831999875	149.3385713000025	-1	f	i	1
36	1	1	0	1	1	0.689961314201355	right	1	-1	4.65	150.35088449998875	151.35121589998016	152.04776039998978	153.05445480000344	-1	f	i	1
37	0	0	0	1	1	0.8963829278945923	right	0	-1	4.65	154.07501309999498	155.0758918999927	155.98075200000312	156.98653829999967	-1	f	i	1
38	0	0	0	1	0	0.31540921330451965	left	1	-1	4.8	158.0254827000026	159.02593219999108	159.34738140000263	160.35336879998795	-1	f	i	1
39	0	0	0	1	1	0.38768190145492554	right	0	-1	4.8	161.41982909999206	162.42010600000503	162.8147006999934	163.82026989999576	-1	f	i	1
40	1	1	0	1	0	0.38254261016845703	left	0	-1	4.8	165.01038540000445	166.0109158999985	166.39965209999355	167.40566049999325	-1	f	i	1
41	1	1	1	0	1	0.5910723805427551	left	-1	1	4.65	181.71967590000713	182.71962259997963	183.31694580000476	-1	184.32328300000518	b	o	2
42	1	1	1	0	1	0.5524289011955261	left	-1	1	4.5	185.33749740000349	186.33786309999414	186.89626330000465	-1	187.90214409999317	b	o	2
43	1	1	0	0	0	0.6184085011482239	left	-1	0	4.5	188.92405800000415	189.92436000000453	190.5487623999943	-1	191.55436789998203	b	o	2
44	1	1	1	0	0	1.2594155073165894	right	-1	0	4.5	192.56352929997956	193.56388269999297	194.829356799979	-1	195.83509499998763	b	o	2
45	1	1	1	0	0	3.0198187828063965	right	-1	0	4.5	196.85367399998358	197.85424019998754	200.88003579998622	-1	201.88558179998654	b	o	2
46	1	1	1	0	0	4.574763298034668	right	-1	0	4.5	202.90370239998447	203.9040629999945	208.48510619997978	-1	209.49095320000197	b	o	2
47	1	1	0	0	0	1.3141815662384033	left	-1	0	4.5	210.73042569999234	211.73103920000722	213.0534195000073	-1	214.0590614999819	b	o	2
48	1	1	1	0	0	1.2821946144104004	right	-1	0	4.5	215.10272070000065	216.10361570000532	217.61737269998412	-1	218.6231984999904	b	o	2
49	0	0	0	0	0	1.138649582862854	left	-1	1	4.35	219.67254490000778	220.67276210000273	221.81714159998228	-1	222.82293329999084	b	o	2
50	0	0	1	0	0	1.275524616241455	right	-1	1	4.2	224.06373319998966	225.06403959999443	226.56759409999358	-1	227.5735242999799	b	o	2
51	1	1	0	0	0	1.4882386922836304	left	-1	0	4.2	229.07540020000306	230.0756854999927	231.57031419998384	-1	232.576204699988	b	o	2
52	0	0	0	0	0	0.38028478622436523	left	-1	1	4.05	233.6336333999934	234.63396740000462	235.248835699982	-1	236.25515290000476	b	o	2
53	1	1	1	0	0	1.2699520587921143	right	-1	0	4.05	237.445741500007	238.44558689999394	239.72162229998503	-1	240.72776310000336	b	o	2
54	0	0	1	0	0	0.7866449952125549	right	-1	1	3.9	241.73639809997985	242.73687239998253	243.5296451000031	-1	244.53564620000543	b	o	2
55	0	0	0	0	0	0.7646211981773376	left	-1	1	3.75	245.79147809999995	246.79199779999908	247.56255299999611	-1	248.56835039998987	b	o	2
56	0	0	1	0	0	2.382181406021118	right	-1	1	3.6	249.59003739999025	250.59053779998794	252.97868589998689	-1	253.98584139999002	b	o	2
57	0	0	0	0	0	1.1565039157867432	left	-1	1	3.45	254.99848779998138	255.99903219999396	257.16181639998103	-1	258.16778540000087	b	o	2
58	0	0	0	0	0	0.5374523997306824	left	-1	1	3.3	259.23457299999427	260.2354308000067	260.7799696000002	-1	261.785739199986	b	o	2
59	0	0	0	0	0	1.2752505540847778	left	-1	1	3.15	262.8081450999889	263.80890069997986	265.09020199999213	-1	266.0959077999869	b	o	2
60	1	1	1	0	0	0.5617401003837585	right	-1	0	3.15	267.2969683999836	268.29741410000133	269.04620549999527	-1	270.052162899985	b	o	2
61	1	1	1	0	0	0.6124987006187439	right	-1	0	3.15	271.07400180000695	272.07603539997945	272.6946684999857	-1	273.7002474000037	b	o	2
62	1	1	1	0	0	1.0458686351776123	right	-1	0	3.15	274.7456800999935	275.74610220000613	276.7982563999831	-1	277.80373839999083	b	o	2
63	1	1	1	0	0	1.332322359085083	right	-1	0	3.15	278.82241530000465	279.82279979999294	281.16116359998705	-1	282.16834999999264	b	o	2
64	1	1	0	0	0	0.5341005921363831	left	-1	0	3.15	283.17901619998156	284.17871449998347	284.8959335999971	-1	285.9017851999961	b	o	2
65	1	1	1	0	0	0.7553110122680664	right	-1	0	3.15	287.0996673000045	288.10014559997944	288.8611246999935	-1	289.8666907000006	b	o	2
66	1	1	1	0	0	0.7311930060386658	right	-1	0	3.15	291.2484379999805	292.248743300006	293.1651664999954	-1	294.17077319999225	b	o	2
67	1	1	0	0	0	0.7494977712631226	left	-1	0	3.15	295.35711149999406	296.3578576	297.1134886999789	-1	298.11928429998807	b	o	2
68	0	0	1	0	0	2.608635902404785	right	-1	1	3.0	299.1810706999968	300.1816204999923	302.79626629999257	-1	303.8020730999997	b	o	2
69	1	1	0	0	0	0.6707512736320496	left	-1	0	3.0	304.82447729998967	305.82522509997943	306.5037739999825	-1	307.50993259999086	b	o	2
70	0	0	0	0	0	0.6978653073310852	left	-1	1	2.85	308.72388299999875	309.72397479999927	310.427835599985	-1	311.4335362999991	b	o	2
71	0	0	1	0	0	2.5209689140319824	right	-1	1	2.7	312.4460795999912	313.4464224999829	315.97421290000784	-1	316.98003039998	b	o	2
72	0	0	0	0	0	0.9062767028808594	left	-1	1	2.55	318.16979650000576	319.1703578000015	320.08328769999207	-1	321.0892315999954	b	o	2
73	0	0	1	0	0	0.5843225121498108	right	-1	1	2.4	322.103680900007	323.10406660000444	323.6942366999865	-1	324.6998544999806	b	o	2
74	0	0	1	0	0	1.646219253540039	right	-1	1	2.25	325.72423200000776	326.7247757999867	328.37662419999833	-1	329.3828059999796	b	o	2
75	0	0	0	0	1	2.048701763153076	right	-1	0	2.25	330.405357599986	331.4055078999954	333.4602445999917	-1	334.46645499998704	b	o	2
76	0	0	0	0	1	0.6946247816085815	right	-1	0	2.25	335.47531819998403	336.47618589998456	337.1765848000068	-1	338.182739699987	b	o	2
77	0	0	1	0	1	0.6362661719322205	left	-1	0	2.25	339.200966400007	340.20119789999444	340.84361690000514	-1	341.8495980000007	b	o	2
78	1	1	1	0	1	0.8172882199287415	left	-1	1	2.1	342.86910009998246	343.8702391999832	344.69368319999194	-1	345.69969929999206	b	o	2
79	0	0	0	0	0	0.44969040155410767	left	-1	1	1.95	346.7235895000049	347.7243549999839	348.1799715999805	-1	349.1858886999835	b	o	2
