Subject Num	1	Block Order	1	date	Apr_04_1502
Trialnumber	Winpos	Losspos	Side	Order	Choice	RT	Choiceside	Winchosen	LossChosen	TotalMoney	Fixonset	Choiceonset	Monitoronset	Winresonset	Lossresonset	stima	stimb	Blocknum
1	1	1	0	1	0	1.2944042682647705	left	0	0	1.5	0.1446155000012368	1.1438032920050318	2.4450646250043064	3.449951458002033	4.456794458004879	i	f	1
2	0	1	0	0	1	0.5947063565254211	right	0	1	1.35	5.4623654580063885	6.4629488330028835	7.063079542000196	9.073673667000548	8.067691083000682	i	f	1
3	0	1	1	1	1	1.5827516317367554	left	0	1	1.2000000000000002	10.0837528330012	11.08438845800265	12.674224250004045	13.679079125002318	14.685934458000702	i	f	1
4	1	1	1	0	1	0.6241483092308044	left	1	1	1.2000000000000002	15.694868833001237	16.69528341700061	17.324859792002826	19.334421125000517	18.328400500002317	i	f	1
5	0	1	1	1	1	0.8689296245574951	left	0	1	1.0500000000000003	20.339421625001705	21.339967500003695	22.213948667005752	23.21797491700272	24.223879750003107	i	f	1
6	0	1	1	0	0	0.38575461506843567	right	1	0	1.2000000000000002	25.23124083300354	26.231925625004806	26.623268458002713	28.632197417005955	27.626982667003176	i	f	1
7	0	0	1	1	0	0.32803308963775635	right	1	1	1.2000000000000002	29.639123625005595	30.64003154200327	30.973561375001736	31.977416042005643	32.98301987500599	i	f	1
8	0	0	0	0	1	0.1792958676815033	right	0	0	1.2000000000000002	33.98866095800622	34.98914529200556	35.17375916700257	37.18330825000157	36.177513542003	i	f	1
9	1	1	0	1	1	0.029363125562667847	right	1	1	1.2000000000000002	38.18854091700632	39.18945491700288	39.22422395800095	40.22792787500657	41.233181250005146	i	f	1
10	0	1	1	0	0	1.5007401704788208	right	1	0	1.35	42.23920458300563	43.23977637500502	44.745859292001114	46.756529292004416	45.75023220800358	i	f	1
11	0	1	0	1	1	0.3543400466442108	right	0	1	1.2000000000000002	47.764054917002795	48.76461716700578	49.12366416700388	50.127509208003175	51.132863917002396	i	f	1
12	0	1	1	0	0	1.078393816947937	right	1	0	1.35	52.14077133300452	53.141652167003485	54.225987417004944	56.23620908300654	55.23033625000244	i	f	1
13	0	1	0	1	1	1.0910619497299194	right	0	1	1.2000000000000002	57.243343292000645	58.24412487500376	59.34063416700519	60.34492837500147	61.3510475830044	i	f	1
14	0	1	0	0	0	0.3087632358074188	left	1	0	1.35	62.35832841700176	63.35978816700663	63.674534333003976	65.68480045800243	64.67856812500395	i	f	1
15	0	1	1	1	0	0.9407392740249634	right	1	0	1.5	66.69213533300353	67.69301037500554	68.63931050000247	69.6435177500025	70.6498993750065	i	f	1
16	0	1	0	0	1	0.3390005826950073	right	0	1	1.35	71.6567690830052	72.65720691699971	73.00123120799981	75.01388429200597	74.0061721250022	i	f	1
17	1	1	1	1	0	0.37160974740982056	right	0	0	1.35	76.02220533299987	77.02278320800542	77.40062233299977	78.40448358300637	79.4105620420014	i	f	1
18	1	0	0	0	1	0.0	right	1	0	1.5	80.41736116700486	81.41786608300026	81.42327674999979	83.44248204200267	82.43621695800539	i	f	1
19	1	1	0	1	1	0.16516399383544922	right	1	1	1.5	84.45106266700168	85.45154233300127	85.6219260420039	86.62533820800309	87.63085125000362	i	f	1
20	1	1	0	0	1	3.164106607437134	right	1	1	1.5	88.63650395800505	89.63702945800469	92.80552845800412	94.81553545800125	93.80994162500429	i	f	1
21	1	1	0	1	1	3.1021811962127686	right	1	1	1.5	95.82170016700547	96.82208166700002	99.9300189170026	100.93505266700231	101.94015316700097	i	f	1
22	1	1	1	0	0	0.62874436378479	right	0	0	1.5	102.94561120800063	103.9460447080055	104.58118412500335	106.59124154200254	105.58526787500159	i	f	1
23	1	0	1	1	0	0.4789302945137024	right	0	1	1.35	107.59642870800599	108.59699016700324	109.08134495800186	110.08515129200532	111.09171375000005	i	f	1
24	1	1	1	0	0	1.0618250370025635	right	0	0	1.35	112.09901208300289	113.09981883300497	114.16580379200605	116.17682912500459	115.1706058330019	i	f	1
25	1	0	1	1	1	1.8126728534698486	left	1	0	1.5	117.18287945799966	118.18383437500597	120.00225091700122	121.0067437079997	122.01340854199952	i	f	1
26	0	0	0	0	0	0.9374116063117981	left	1	1	1.5	123.02272525000444	124.02319812500355	124.96629941700667	126.9767792920029	125.97023629199975	i	f	1
27	1	0	1	1	0	0.6439005732536316	right	0	1	1.35	127.98335437500646	128.98389754200616	129.63222600000154	130.63726933300495	131.64347379200626	i	f	1
28	1	0	0	0	0	0.32506799697875977	left	0	1	1.2000000000000002	132.65063600000576	133.65131700000347	133.9818418750001	135.99305266699957	134.98666650000087	i	f	1
29	1	0	1	1	1	0.3693597614765167	left	1	0	1.35	137.0010032920036	138.001805083004	138.37553845799994	139.37908262500423	140.38486929200008	i	f	1
30	0	0	1	0	1	0.4939343333244324	left	0	0	1.35	141.39186045800307	142.39240625000093	142.89207487500244	144.902412250005	143.8963185419998	i	f	1
31	1	1	0	1	0	0.5684619545936584	left	0	0	1.35	145.90749170799972	146.9088184170032	147.4827898750009	148.48778400000447	149.49389641699963	i	f	1
32	1	0	1	0	1	0.3007866144180298	left	1	0	1.5	150.49910616700072	151.50005633300316	151.8054185420042	153.816363542006	152.809971667004	i	f	1
33	1	0	1	1	1	0.30990657210350037	left	1	0	1.65	154.8236769580035	155.82417366700247	156.13908625000477	157.14336233300128	158.15088904200093	i	f	1
34	0	1	0	0	0	0.27379322052001953	left	1	0	1.7999999999999998	159.15963762500178	160.16045995800232	160.43919304200244	162.45037929200043	161.44364450000285	i	f	1
35	0	0	0	1	0	0.0	left	1	1	1.7999999999999998	163.4597370420015	164.46027604200208	164.46609533300216	165.4741445000036	166.48291916699964	i	f	1
36	0	0	1	0	1	0.0	left	0	0	1.7999999999999998	167.48939966699982	168.49021783300122	168.49738304200582	170.50902820800547	169.50140654200368	i	f	1
37	1	0	1	1	1	0.03296241536736488	left	1	0	1.9499999999999997	171.51432070800365	172.5149585420004	172.5557181250042	173.55935412500548	174.56692958300118	i	f	1
38	0	0	1	0	1	0.0	left	0	0	1.9499999999999997	175.5753721670044	176.5762429170063	176.58436179200362	178.59742804200505	177.58952679200593	i	f	1
39	0	1	1	1	1	0.0	left	0	1	1.7999999999999998	179.60302450000017	180.60353579200455	180.61098137500085	181.6215682080001	182.63060195800063	i	f	1
40	0	0	1	0	1	0.0	left	0	0	1.7999999999999998	183.63942654200218	184.64018200000282	184.64662775000033	186.66304033300548	185.6541734170023	i	f	1
41	0	0	0	1	0	0.09653574973344803	left	1	1	1.7999999999999998	187.66871737500333	188.6692104169997	188.7724589999998	189.7760943750036	190.78480704200047	i	f	1
42	0	0	0	0	0	1.9756745100021362	left	1	1	1.7999999999999998	191.79155908300163	192.79259158300556	194.77386591700633	196.78852787500364	195.78008929200587	i	f	1
43	0	0	0	1	0	0.0	left	1	1	1.7999999999999998	197.79572600000392	198.79649166700256	198.80375912500313	199.80908608300524	200.8170376670023	i	f	1
44	0	0	1	0	1	0.0	left	0	0	1.7999999999999998	201.82355445800204	202.82392929200432	202.8313662080036	204.84484237500146	203.83582829200168	i	f	1
45	0	0	0	1	0	0.1419811248779297	left	1	1	1.7999999999999998	205.85155629200017	206.85201170800428	207.0019358330028	208.00531295800465	209.01281975000165	i	f	1
46	0	0	1	0	1	0.4489485025405884	left	0	0	1.7999999999999998	210.01899029200285	211.01959954199992	211.47631537500274	213.48803483300435	212.48037270799978	i	f	1
47	0	0	0	1	0	0.09563062340021133	left	1	1	1.7999999999999998	214.49486266700114	215.49573262500053	215.5986154580023	216.60308129199984	217.63016100000095	i	f	1
48	0	0	1	0	1	0.06459125131368637	left	0	0	1.7999999999999998	218.63590308300627	219.6367172080063	219.708775375002	221.72086000000127	220.71299637500488	i	f	1
49	0	1	0	1	0	0.0	left	1	0	1.9499999999999997	222.73089133300527	223.7316155830049	223.73872312500316	224.74394762500015	225.75400483300473	i	f	1
50	1	0	0	0	0	0.09287533164024353	left	0	1	1.7999999999999998	226.7679265830011	227.76872708300652	227.8682576670035	229.88001337500464	228.87174033300107	i	f	1
51	0	1	1	1	1	0.049112457782030106	left	0	1	1.65	230.89084000000003	231.89207812500536	231.94882762500492	232.95257683300588	233.9606732500033	i	f	1
52	0	0	0	0	0	0.45569363236427307	left	1	1	1.65	234.96912866700586	235.96977141700336	236.43390041700331	238.44650262500363	237.43775395800185	i	f	1
53	1	1	1	1	1	0.09855291992425919	left	1	1	1.65	239.45233250000456	240.45289100000082	240.55898279200483	241.56355895800516	242.57180633300595	i	f	1
54	0	1	1	0	1	0.14064458012580872	left	0	1	1.5	243.57844712500082	244.57962466699973	244.72898945800262	246.7426938330027	245.73293079200084	i	f	1
