Subject Num	dfg	Block Order	1	date	Apr_04_1811
Trialnumber	Winpos	Losspos	Side	Order	Choice	RT	Choiceside	Winchosen	LossChosen	TotalMoney	Fixonset	Choiceonset	Monitoronset	Winresonset	Lossresonset	stima	stimb	Blocknum
1	1	0	0	1	0	23.090438842773438	left	0	1	1.35	0.14911391599162016	1.1465251249901485	24.251421416003723	25.260368290997576	25.76717949999147	F	G	1
2	1	0	0	0	0	11.556751251220703	left	0	1	1.2000000000000002	26.285093457991024	27.285843165998813	38.84783662499103	40.36024424999778	39.854461583003285	F	G	1
3	1	0	0	1	0	0.29858720302581787	left	0	1	1.0500000000000003	40.86796904099174	41.87125508299505	42.17726912499347	43.18194345799566	43.688790999993216	F	G	1
4	1	0	0	0	0	0.9431261420249939	left	0	1	0.9000000000000002	44.19652012499864	45.197022583000944	46.14711962499132	47.65689758300141	47.15082666599483	F	G	1
5	1	0	0	1	0	18.137428283691406	left	0	1	0.7500000000000002	48.16452691599261	49.16526974999579	67.30916245799745	68.31536845800292	68.82201375000295	F	G	1
6	0	1	0	0	0	36.85501480102539	left	1	0	0.9000000000000002	69.3292406249966	70.32962270799908	107.1936595409934	108.71368266599893	108.20645187499758	F	G	1
7	0	1	0	1	0	4.567549228668213	left	1	0	1.0500000000000003	109.23517920800077	110.23584549999214	114.80934283300303	115.81406099999731	116.32036283299385	F	G	1
8	0	1	0	0	0	1.0795012712478638	left	1	0	1.2000000000000002	116.82799104099104	117.82886125000368	118.91392183299467	120.42629200000374	119.91979162499774	F	G	1
9	0	1	0	1	0	2.216157913208008	left	1	0	1.35	120.93331929099804	121.93471779099491	124.1570230829966	125.16170941600285	125.66750012499688	F	G	1
10	0	1	0	0	0	1.9574332237243652	left	1	0	1.5	126.17497345799347	127.17579754100007	129.13981287500064	130.6513802499976	130.14569716599362	F	G	1
11	1	0	1	1	1	9.600643157958984	left	1	0	1.65	131.15799958299613	132.158886833	141.76522058299452	142.77129274999606	143.27736129099503	F	G	1
12	1	0	1	0	1	0.0	left	1	0	1.7999999999999998	143.7858281249937	144.78660949999176	144.79341912499513	146.31058758299332	145.8055583749956	F	G	1
13	1	0	1	1	1	31.53898048400879	left	1	0	1.9499999999999997	146.81831262499327	147.81891704100417	179.36610316600127	180.37893041600182	180.8852227079915	F	G	1
14	1	0	1	0	1	3.6981825828552246	left	1	0	2.0999999999999996	181.39693754099426	182.39776274999895	186.1014151249983	187.61240050000197	187.10651654099638	F	G	1
15	1	0	1	1	1	0.16997037827968597	left	1	0	2.2499999999999996	188.11944291599502	189.11973141599447	189.2953194159927	190.29943029099377	190.80396279100387	F	G	1
16	0	1	1	0	1	1.0167219638824463	left	0	1	2.0999999999999996	191.3108052500029	192.3114841249917	193.33422695800255	194.8449857079977	194.33864112499577	F	G	1
17	0	1	1	1	1	0.23750746250152588	left	0	1	1.9499999999999997	195.3516165829933	196.35209324999596	196.59519537499	197.59878487499373	198.1050770409929	F	G	1
18	0	1	1	0	1	0.25046658515930176	left	0	1	1.7999999999999998	198.61233516599168	199.61315750000358	199.87087916600285	201.38071116599895	200.8747215409967	F	G	1
19	0	1	1	1	1	0.10277104377746582	left	0	1	1.65	201.8872027079924	202.88804916599474	202.99737962499785	204.0006596250023	204.50698737500352	F	G	1
20	0	1	1	0	1	0.0	left	0	1	1.5	205.01347220799653	206.01436187500076	206.02022670800216	207.53343704099825	207.02765912500035	F	G	1
21	1	1	1	1	1	0.0018612919375300407	left	1	1	1.5	208.04002620799292	209.04096674999164	209.04962862499815	210.05630662500334	210.5640816249943	F	G	1
22	1	1	1	0	1	0.0	left	1	1	1.5	211.06887070799712	212.06957304099342	212.07581087500148	213.5960313329997	213.08907249999174	F	G	1
23	1	0	0	1	0	6.248542785644531	left	0	1	1.35	214.10168154099665	215.10206804100017	221.3573804159969	222.3621655409952	222.86790366600326	F	G	1
