Subject Num	ghkhgk	Block Order	1	date	Apr_04_1805
Trialnumber	Winpos	Losspos	Side	Order	Choice	RT	Choiceside	Winchosen	LossChosen	TotalMoney	Fixonset	Choiceonset	Monitoronset	Winresonset	Lossresonset	stima	stimb	Blocknum
1	1	0	0	1	0	7.57893180847168	left	0	1	1.35	0.1366666670073755	1.1360497499990743	8.723004708997905	9.731808084005024	10.2401194999984	F	G	1
2	1	0	0	0	0	0.1135130375623703	left	0	1	1.2000000000000002	10.749033291998785	11.749518541997531	11.869421750001493	13.38945462499396	12.873077583994018	F	G	1
3	1	0	0	1	0	0.4763995110988617	left	0	1	1.0500000000000003	13.897860334007419	14.898308917006943	15.380527208995773	16.38477916699776	16.890564458997687	F	G	1
4	1	0	0	0	0	0.2163717895746231	left	0	1	0.9000000000000002	17.3977296249941	18.39841374999378	18.621064334001858	20.131411709007807	19.624711459007813	F	G	1
5	1	0	0	1	0	0.24244804680347443	left	0	1	0.7500000000000002	20.642956209005206	21.643694333994063	21.892899500002386	22.897501667001052	23.402709917005268	F	G	1
6	0	1	0	0	0	0.2304285764694214	left	1	0	0.9000000000000002	23.91048099999898	24.910903916999814	25.14685649999592	26.655731959006516	26.15091012499761	F	G	1
7	0	1	0	1	0	0.19512008130550385	left	1	0	1.0500000000000003	27.16246816700732	28.162905042001512	28.363755084006698	29.367463208996924	29.87270287499996	F	G	1
8	0	1	0	0	0	0.026004917919635773	left	1	0	1.2000000000000002	30.37972720900143	31.380652584004565	31.41371925000567	32.9242150420032	32.41741550000734	F	G	1
9	0	1	0	1	0	0.2343231737613678	left	1	0	1.35	33.43122658399807	34.43206883399398	34.67327066700091	35.67694412500714	36.182463167002425	F	G	1
10	0	1	0	0	0	0.07348471134901047	left	1	0	1.5	36.68780250000418	37.68859562500438	37.76747591700405	39.27574650000315	38.77096125000389	F	G	1
11	1	0	1	1	1	0.535453200340271	left	1	0	1.65	39.78270574999624	40.78306699999666	41.32383454199589	42.32788325000729	42.833901916994364	F	G	1
12	1	0	1	0	1	0.2754936218261719	left	1	0	1.7999999999999998	43.34033079199435	44.341035125005874	44.62140516699583	46.132529124995926	45.625195083994186	F	G	1
13	1	0	1	1	1	1.8893758058547974	left	1	0	1.9499999999999997	46.638992791995406	47.63967395899817	49.535038292000536	50.539508709000074	51.04552858399984	F	G	1
14	1	0	1	0	1	0.0	left	1	0	2.0999999999999996	51.55999704200076	52.560570792004	52.56651966700156	54.08684041700326	53.58111229199858	F	G	1
15	1	0	1	1	1	0.33376315236091614	left	1	0	2.2499999999999996	54.59660537500167	55.59730325000419	55.93702008400578	56.941013749994454	57.44975549999799	F	G	1
16	0	1	1	0	1	0.13778699934482574	left	0	1	2.0999999999999996	57.95565866700781	58.95626500000071	59.10059908400581	60.609835291994386	60.103743041996495	F	G	1
17	0	1	1	1	1	0.011861625127494335	left	0	1	1.9499999999999997	61.117986124998424	62.11834012500185	62.13522816699697	63.13812762500311	63.64306329199462	F	G	1
18	0	1	1	0	1	0.0	left	0	1	1.7999999999999998	64.14942891700775	65.1502685000014	65.15624020900577	66.66943354200339	66.16422754200175	F	G	1
19	0	1	1	1	1	0.03924591466784477	left	0	1	1.65	67.17597158400167	68.17644562499481	68.22216545899573	69.22520645899931	69.73000291700009	F	G	1
20	0	1	1	0	1	0.0	left	0	1	1.5	70.23625833400001	71.23675804199593	71.24170425000193	72.75248616699537	72.24710925000545	F	G	1
