Subject Num	t	Block Order	1	date	Apr_04_1803
Trialnumber	Winpos	Losspos	Side	Order	Choice	RT	Choiceside	Winchosen	LossChosen	TotalMoney	Fixonset	Choiceonset	Monitoronset	Winresonset	Lossresonset	stima	stimb	Blocknum
1	1	0	0	1	0	4.475675106048584	left	0	1	1.35	0.1746687499980908	1.1739973340008873	5.658698499988532	6.663777458990808	7.170613541995408	F	G	1
2	1	0	0	0	0	1.1642366647720337	left	0	1	1.2000000000000002	7.680198624992045	8.680942958992091	9.852892458991846	11.36438216699753	10.857368249999126	F	G	1
3	1	0	0	1	0	1.5057340860366821	left	0	1	1.0500000000000003	11.873088416992687	12.873845624999376	14.397982999988017	15.40253754198784	15.908704041998135	F	G	1
4	1	0	0	0	0	0.6092506051063538	left	0	1	0.9000000000000002	16.416994499988505	17.417644666988053	18.03292604199669	19.54272170898912	19.037113541999133	F	G	1
5	0	1	1	1	1	0.05818312615156174	left	0	1	0.7500000000000002	20.05094558399287	21.05137920899142	21.114350333999027	22.11783641699003	22.62219191699114	F	G	1
6	0	1	1	0	1	4.82129430770874	left	0	1	0.6000000000000002	23.130034583999077	24.13054391699552	28.956858374993317	30.472033583995653	29.963090541990823	F	G	1
7	0	1	1	1	1	0.5894695520401001	left	0	1	0.4500000000000002	30.98032712499844	31.98118595899723	32.57828045899805	33.5827760839893	34.092693833998055	F	G	1
8	0	1	1	0	1	0.3112374544143677	left	0	1	0.30000000000000016	34.61229916699813	35.61272420900059	35.93049629199959	37.44089370899019	36.934780291994684	F	G	1
9	1	1	0	1	0	0.06673987209796906	left	0	0	0.30000000000000016	37.948730749994866	38.949147874998744	39.02488045899372	40.0299228340009	40.53480816699448	F	G	1
10	0	1	0	0	0	0.4764290452003479	left	1	0	0.4500000000000002	41.04008924998925	42.04108070899383	42.523880666994955	44.03439383399382	43.528714041996864	F	G	1
11	0	1	0	1	0	0.4745214581489563	left	1	0	0.6000000000000002	44.542191959000775	45.542568459000904	46.02236083398748	47.02650654199533	47.531671083997935	F	G	1
12	0	1	0	0	0	5.064339637756348	left	1	0	0.7500000000000002	48.03820883399749	49.038520999994944	54.11425179199432	55.62759237499267	55.12165129199275	F	G	1
